[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
2631  0x00035b29 0x10036729 5   6    .text   ascii   tL th
2632  0x00035b62 0x10036762 4   5    .text   ascii   33 \
2633  0x00035b81 0x10036781 5   6    .text   ascii   (H;3%
2634  0x00035bd1 0x100367d1 5   6    .text   ascii   \b$0G+
2635  0x00035be8 0x100367e8 4   5    .text   ascii   }HH\b
2636  0x00035c62 0x10036862 6   7    .text   ascii   xLHHHH
2637  0x00035cc3 0x100368c3 4   5    .text   ascii   HLL$
2638  0x00035cd5 0x100368d5 4   5    .text   ascii   \+$A
2639  0x00035cde 0x100368de 4   5    .text   ascii   AM^H
2640  0x00035d76 0x10036976 5   7    .text   utf8    D$t$ȃ blocks=Basic Latin,Latin Extended-B
2641  0x00035dad 0x100369ad 4   5    .text   ascii   AHuu
2642  0x00035dcd 0x100369cd 6   7    .text   ascii   HHHDE 
2643  0x00035e1f 0x10036a1f 4   5    .text   ascii   xHyI
2644  0x00035e47 0x10036a47 4   5    .text   ascii   E@]0
2645  0x00035e56 0x10036a56 7   8    .text   ascii   \tO\atHUH
2646  0x00035e72 0x10036a72 4   5    .text   ascii   lu\)
2647  0x00035e8a 0x10036a8a 4   5    .text   ascii   f)P(
2648  0x00035ef5 0x10036af5 6   7    .text   ascii   A@7$HH
2649  0x00035f01 0x10036b01 4   5    .text   ascii   tDHA
2650  0x00035f12 0x10036b12 4   5    .text   ascii   LHLD
2651  0x00035f47 0x10036b47 4   5    .text   ascii    '&H
2652  0x00035fa1 0x10036ba1 6   7    .text   ascii   3P\rHD{
2653  0x00035fd8 0x10036bd8 4   5    .text   ascii   C;HX
2654  0x00036069 0x10036c69 8   9    .text   ascii   HBH$HAZD
2655  0x000360c2 0x10036cc2 4   6    .text   utf8    +LyH
2656  0x000360ee 0x10036cee 4   5    .text   ascii   \at \e
2657  0x00036162 0x10036d62 4   5    .text   ascii   $\=E
2658  0x000361ad 0x10036dad 5   6    .text   ascii   HLIpG
2659  0x000361fb 0x10036dfb 6   8    .text   utf8    ̋>p/MH blocks=Combining Diacritical Marks,Basic Latin
2660  0x00036265 0x10036e65 4   5    .text   ascii   @ HE
2661  0x0003626a 0x10036e6a 5   6    .text   ascii   ])HHL
2662  0x00036270 0x10036e70 4   5    .text   ascii   HLAB
2663  0x00036290 0x10036e90 5   6    .text   ascii   \aMD$p
2664  0x0003633d 0x10036f3d 5   6    .text   ascii   thH$H
2665  0x00036376 0x10036f76 7   9    .text   utf8    HH(ċLAH blocks=Basic Latin,Latin Extended-A
2666  0x000363d4 0x10036fd4 4   5    .text   ascii   \aA\nE
2667  0x000364d5 0x100370d5 4   5    .text   ascii   AHHH
2668  0x000364e0 0x100370e0 5   6    .text   ascii   v@\iu
2669  0x000364f0 0x100370f0 4   5    .text   ascii   *8#H
2670  0x00036513 0x10037113 4   5    .text   ascii   HH'D
2671  0x00036547 0x10037147 4   5    .text   ascii    @H[
2672  0x000365af 0x100371af 4   5    .text   ascii   rHH$
2673  0x0003660f 0x1003720f 4   7    .text   utf8    H(H艡 blocks=Basic Latin,CJK Unified Ideographs
2674  0x00036618 0x10037218 6   8    .text   utf8    ̋Tf[tH blocks=Combining Diacritical Marks,Basic Latin
2675  0x00036653 0x10037253 4   5    .text   ascii   4EIH
2676  0x0003668d 0x1003728d 4   5    .text   ascii   VXHH
2677  0x00036697 0x10037297 4   5    .text   ascii   'L$H
2678  0x000366a0 0x100372a0 4   5    .text   ascii   fE W
2679  0x000366de 0x100372de 5   6    .text   ascii    DACD
2680  0x00036710 0x10037310 4   5    .text   ascii   HVLC
2681  0x00036771 0x10037371 4   5    .text   ascii   H\aFH
2682  0x0003677a 0x1003737a 6   7    .text   ascii   H#$t\r\v
2683  0x000367e8 0x100373e8 4   5    .text   ascii   P.fu
2684  0x000367f5 0x100373f5 5   6    .text   ascii   tDH|t
2685  0x00036801 0x10037401 5   6    .text   ascii   F\fH3+
2686  0x0003682d 0x1003742d 4   5    .text   ascii   HJ;E
2687  0x00036876 0x10037476 5   6    .text   ascii   Ih\bHR
2688  0x000368b7 0x100374b7 6   7    .text   ascii   AH$DHE
2689  0x00036905 0x10037505 5   7    .text   utf8    ǇL.PP blocks=Latin Extended-B,Basic Latin
2690  0x00036926 0x10037526 6   7    .text   ascii   ($m34H
2691  0x0003698e 0x1003758e 4   7    .text   utf8    ̶}D̋ blocks=Combining Diacritical Marks,Basic Latin
2692  0x00036ad1 0x100376d1 5   6    .text   ascii   fC9HL
2693  0x00036b06 0x10037706 4   5    .text   ascii   HA ;
2694  0x00036b13 0x10037713 4   5    .text   ascii   \nD4(
2695  0x00036b62 0x10037762 5   6    .text   ascii   CH\fHH
2696  0x00036b70 0x10037770 4   5    .text   ascii   MrIP
2697  0x00036b7b 0x1003777b 4   5    .text   ascii   HHH\b
2698  0x00036b9c 0x1003779c 5   7    .text   utf8    H̐H(H blocks=Basic Latin,Combining Diacritical Marks
2699  0x00036bc2 0x100377c2 5   7    .text   utf8    ÀtI[L blocks=Latin-1 Supplement,Basic Latin
2700  0x00036c0d 0x1003780d 5   7    .text   utf8    tLVs٧ blocks=Basic Latin,Arabic
2701  0x00036c1f 0x1003781f 5   6    .text   ascii   HFH3H
2702  0x00036cd9 0x100378d9 5   6    .text   ascii   H@HHH
2703  0x00036d39 0x10037939 4   5    .text   ascii   HH\bu
2704  0x00036d54 0x10037954 4   5    .text   ascii   H DA
2705  0x00036d74 0x10037974 5   6    .text   ascii   \e3H\f\a
2706  0x00036da3 0x100379a3 4   6    .text   utf8    =HE 
2707  0x00036dd5 0x100379d5 4   5    .text   ascii   "@t@
2708  0x00036e57 0x10037a57 4   5    .text   ascii   W\bH\t
2709  0x00036e63 0x10037a63 5   6    .text   ascii   xHM\nt
2710  0x00036e74 0x10037a74 6   7    .text   ascii   *;$HH\b
2711  0x00036ebb 0x10037abb 4   5    .text   ascii   k u$
2712  0x00036fd3 0x10037bd3 5   7    .text   utf8    EUmH\r
2713  0x0003704b 0x10037c4b 4   5    .text   ascii   $HNH
2714  0x00037080 0x10037c80 4   5    .text   ascii   :Hu+
2715  0x00037110 0x10037d10 4   6    .text   utf8    Ge̞$ blocks=Basic Latin,Combining Diacritical Marks
2716  0x00037126 0x10037d26 4   5    .text   ascii   UlDL
2717  0x00037130 0x10037d30 4   5    .text   ascii   $AP\
2718  0x00037168 0x10037d68 5   7    .text   utf8    sȌHUX blocks=Basic Latin,Latin Extended-B
2719  0x0003717f 0x10037d7f 4   5    .text   ascii   #I?t
2720  0x000371a5 0x10037da5 6   7    .text   ascii   WI\bRH 
2721  0x000371c3 0x10037dc3 4   5    .text   ascii   t +V
2722  0x00037266 0x10037e66 5   6    .text   ascii   HHHHD
2723  0x000372c7 0x10037ec7 4   5    .text   ascii   PH B
2724  0x000372fc 0x10037efc 5   6    .text   ascii   f}@p8
2725  0x00037313 0x10037f13 7   8    .text   ascii   D$ HL\bC
2726  0x00037332 0x10037f32 4   6    .text   utf8    ˋDHH blocks=Spacing Modifier Letters,Basic Latin
2727  0x0003736b 0x10037f6b 4   6    .text   utf8    $MֳH blocks=Basic Latin,Hebrew
2728  0x00037371 0x10037f71 4   5    .text   ascii   HI|*
2729  0x0003737a 0x10037f7a 4   5    .text   ascii   HHMt
2730  0x00037385 0x10037f85 5   6    .text   ascii   H\bW-H
2731  0x00037520 0x10038120 5   7    .text   utf8    IHˍD\b blocks=Basic Latin,Spacing Modifier Letters
2732  0x0003755d 0x1003815d 7   9    .text   utf8    =A4\a8\t_
2733  0x00037622 0x10038222 5   6    .text   ascii   LPOHH
2734  0x0003762e 0x1003822e 4   5    .text   ascii   u%H3
2735  0x00037685 0x10038285 4   5    .text   ascii   HHH\t
2736  0x0003771b 0x1003831b 4   6    .text   utf8    HTɅu blocks=Basic Latin,Latin Extended-B
2737  0x0003778d 0x1003838d 4   5    .text   ascii   c$$H
2738  0x000377bb 0x100383bb 7   9    .text   utf8    $H ;H̊H blocks=Basic Latin,Combining Diacritical Marks
2739  0x000377d6 0x100383d6 4   5    .text   ascii   \bAHH
2740  0x0003780e 0x1003840e 4   5    .text   ascii   X HH
2741  0x0003789f 0x1003849f 4   5    .text   ascii   H\nv=
2742  0x000378d0 0x100384d0 5   6    .text   ascii   U3j0y
2743  0x000379bd 0x100385bd 4   5    .text   ascii   H\b9$
2744  0x000379cd 0x100385cd 4   5    .text   ascii   AHt+
2745  0x000379e8 0x100385e8 4   5    .text   ascii   ULz(
2746  0x000379f9 0x100385f9 5   6    .text   ascii   FHHHH
2747  0x00037a5c 0x1003865c 6   8    .text   utf8    ̅HHt(T blocks=Combining Diacritical Marks,Basic Latin
2748  0x00037a78 0x10038678 4   6    .text   utf8    tKHV
2749  0x00037a96 0x10038696 5   6    .text   ascii   TuUHt
2750  0x00037a9c 0x1003869c 4   5    .text   ascii   u00^
2751  0x00037ac9 0x100386c9 6   7    .text   ascii   efMIy0
2752  0x00037b48 0x10038748 6   7    .text   ascii   LKH$XO
2753  0x00037b62 0x10038762 5   6    .text   ascii   $HHH\b
2754  0x00037c30 0x10038830 4   5    .text   ascii   +HHH
2755  0x00037da4 0x100389a4 4   6    .text   utf8    úH$L blocks=Latin-1 Supplement,Basic Latin
2756  0x00037db0 0x100389b0 4   5    .text   ascii   CL(2
2757  0x00037dc8 0x100389c8 5   7    .text   utf8    КH\nH@ blocks=Cyrillic,Basic Latin
2758  0x00037de4 0x100389e4 5   6    .text   ascii   ;)HuA
2759  0x00037e27 0x10038a27 5   7    .text   utf8    NۏH#H blocks=Basic Latin,Arabic
2760  0x00037e9d 0x10038a9d 4   5    .text   ascii   H$iI
2761  0x00037ea9 0x10038aa9 4   5    .text   ascii   =PD=
2762  0x00037fd0 0x10038bd0 4   5    .text   ascii   \b\bPV
2763  0x00038007 0x10038c07 4   6    .text   utf8    (ȈPd blocks=Basic Latin,Latin Extended-B
2764  0x00038095 0x10038c95 4   6    .text   utf8    ϹMHu blocks=Greek and Coptic,Basic Latin
2765  0x000380b8 0x10038cb8 4   5    .text   ascii   HMHu
2766  0x000380d4 0x10038cd4 6   7    .text   ascii   HWB;\fC
2767  0x000380fd 0x10038cfd 4   5    .text   ascii   A O$
2768  0x00038109 0x10038d09 5   6    .text   ascii   c\auH8
2769  0x00038123 0x10038d23 4   6    .text   utf8    ̄u\rx blocks=Combining Diacritical Marks,Basic Latin
2770  0x00038135 0x10038d35 4   5    .text   ascii   $+;\v
2771  0x0003818a 0x10038d8a 5   6    .text   ascii   jHL\v&
2772  0x00038216 0x10038e16 4   5    .text   ascii   X u9
2773  0x000382bb 0x10038ebb 4   5    .text   ascii   C^I\b
2774  0x000382db 0x10038edb 4   6    .text   utf8    H+̉\f blocks=Basic Latin,Combining Diacritical Marks
2775  0x000383c4 0x10038fc4 4   6    .text   utf8    $ЁLL blocks=Basic Latin,Cyrillic
2776  0x00038446 0x10039046 5   7    .text   utf8    ǕH9H3 blocks=Latin Extended-B,Basic Latin
2777  0x00038480 0x10039080 8   9    .text   ascii   H\bHsEf1M
2778  0x000384af 0x100390af 9   10   .text   ascii   pH$@pHHt?
2779  0x000384da 0x100390da 4   5    .text   ascii   H@;@
2780  0x00038631 0x10039231 4   5    .text   ascii   H+H(
2781  0x00038686 0x10039286 4   5    .text   ascii   HHC2
2782  0x000386a8 0x100392a8 7   8    .text   ascii   Df\\v LI
2783  0x000386b8 0x100392b8 4   5    .text   ascii   Hl5f
2784  0x000386d4 0x100392d4 7   9    .text   utf8    3EH3݄HI blocks=Basic Latin,Syriac
2785  0x00038724 0x10039324 6   8    .text   utf8    HHHHـA blocks=Basic Latin,Arabic
2786  0x0003872e 0x1003932e 4   5    .text   ascii   HHdv
2787  0x00038780 0x10039380 5   7    .text   utf8    HḊH_ blocks=Basic Latin,Combining Diacritical Marks
2788  0x000387ad 0x100393ad 4   6    .text   utf8    M5A̋ blocks=Basic Latin,Combining Diacritical Marks
2789  0x00038800 0x10039400 5   6    .text   ascii   tG$H\b
2790  0x00038832 0x10039432 5   6    .text   ascii   LFLUm
2791  0x00038838 0x10039438 4   5    .text   ascii   HC#I
2792  0x00038864 0x10039464 4   5    .text   ascii   L*H1
2793  0x0003886f 0x1003946f 4   5    .text   ascii   HA7<
2794  0x000388d5 0x100394d5 5   6    .text   ascii   H{$Pt
2795  0x00038919 0x10039519 5   7    .text   utf8    If$̉( blocks=Basic Latin,Combining Diacritical Marks
2796  0x000389d6 0x100395d6 4   5    .text   ascii   H\nLH
2797  0x00038a0f 0x1003960f 7   8    .text   ascii   LEL2 Df
2798  0x00038a2a 0x1003962a 4   5    .text   ascii   E HH
2799  0x00038abf 0x100396bf 5   6    .text   ascii   HDg\bV
2800  0x00038ac5 0x100396c5 4   5    .text   ascii   (HH@
2801  0x00038ad5 0x100396d5 6   7    .text   ascii   H$H$<;
2802  0x00038b05 0x10039705 4   5    .text   ascii   AHIu
2803  0x00038b6e 0x1003976e 5   6    .text   ascii   H-fH{
2804  0x00038c27 0x10039827 4   5    .text   ascii   uAH7
2805  0x00038cfa 0x100398fa 5   6    .text   ascii   H\E^|
2806  0x00038d1f 0x1003991f 4   5    .text   ascii   x8M\f
2807  0x00038d2e 0x1003992e 4   5    .text   ascii   HHHs
2808  0x00038dd4 0x100399d4 5   7    .text   utf8    +fH̋\n blocks=Basic Latin,Combining Diacritical Marks
2809  0x00038e0c 0x10039a0c 4   5    .text   ascii   E$+0
2810  0x00038e29 0x10039a29 6   7    .text   ascii    ``CH3
2811  0x00038ea8 0x10039aa8 4   5    .text   ascii   t\b8u
2812  0x00038ecc 0x10039acc 4   5    .text   ascii   )$\e+
2813  0x00038f28 0x10039b28 4   5    .text   ascii   f$Rt
2814  0x00038f5e 0x10039b5e 4   5    .text   ascii   $HIt
2815  0x00038f7f 0x10039b7f 4   5    .text   ascii   ]HEA
2816  0x0003902b 0x10039c2b 4   6    .text   utf8    Hǋ@H blocks=Basic Latin,Latin Extended-B
2817  0x00039078 0x10039c78 5   8    .text   utf8    ݉u\v@G blocks=Syriac,Basic Latin
2818  0x000390c0 0x10039cc0 4   7    .text   utf8    L;۶Q blocks=Basic Latin,Greek and Coptic,Arabic
2819  0x0003915c 0x10039d5c 4   5    .text   ascii   f]HI
2820  0x0003916f 0x10039d6f 5   6    .text   ascii   @hHTA
2821  0x000391c9 0x10039dc9 4   5    .text   ascii   HDH 
2822  0x000391d9 0x10039dd9 5   6    .text   ascii   0EH(t
2823  0x000391ec 0x10039dec 4   5    .text   ascii   AAC$
2824  0x0003927c 0x10039e7c 4   7    .text   utf8    LGE blocks=Basic Latin,Private Use Area
2825  0x000392b8 0x10039eb8 4   5    .text   ascii   LDHu
2826  0x000392e3 0x10039ee3 4   5    .text   ascii   DH u
2827  0x0003931d 0x10039f1d 5   6    .text   ascii   P$H$H
2828  0x000393d7 0x10039fd7 4   5    .text   ascii   H\bH|
2829  0x000393e6 0x10039fe6 4   5    .text   ascii   H#VI
2830  0x00039415 0x1003a015 5   7    .text   utf8    UH(\vK
2831  0x00039466 0x1003a066 4   5    .text   ascii   ItH\b
2832  0x00039505 0x1003a105 5   7    .text   utf8    wLIָH blocks=Basic Latin,Hebrew
2833  0x0003950c 0x1003a10c 5   6    .text   ascii   HIHAX
2834  0x0003960f 0x1003a20f 4   5    .text   ascii   IrH 
2835  0x00039633 0x1003a233 6   7    .text   ascii   HJ\b$\tH
2836  0x0003965d 0x1003a25d 5   7    .text   utf8    ÐIz$H blocks=Latin-1 Supplement,Basic Latin
2837  0x00039698 0x1003a298 5   6    .text   ascii   u$\bHM
2838  0x00039720 0x1003a320 6   7    .text   ascii   H$IHA`
2839  0x00039775 0x1003a375 4   5    .text   ascii    fHP
2840  0x000397d0 0x1003a3d0 7   8    .text   ascii   \HHH3I\n
2841  0x00039807 0x1003a407 6   7    .text   ascii   $8HHtt
2842  0x00039a48 0x1003a648 5   6    .text   ascii   H(V~s
2843  0x00039a8b 0x1003a68b 5   8    .text   utf8    L˷xËH blocks=Basic Latin,Spacing Modifier Letters,Latin-1 Supplement
2844  0x00039b06 0x1003a706 4   5    .text   ascii   ChH~
2845  0x00039b34 0x1003a734 4   5    .text   ascii   H@tH
2846  0x00039b60 0x1003a760 5   7    .text   utf8    |MHMذ blocks=Basic Latin,Arabic
2847  0x00039b87 0x1003a787 4   5    .text   ascii   HTHH
2848  0x00039bc3 0x1003a7c3 8   9    .text   ascii   H8;A^M+;
2849  0x00039bd9 0x1003a7d9 4   5    .text   ascii   DMxH
2850  0x00039c0a 0x1003a80a 4   5    .text   ascii   AHFA
2851  0x00039c1e 0x1003a81e 4   5    .text   ascii   LWI$
2852  0x00039c78 0x1003a878 6   8    .text   utf8    ^HǒG+w blocks=Basic Latin,Latin Extended-B
2853  0x00039cba 0x1003a8ba 4   5    .text   ascii   HH(0
2854  0x00039cf5 0x1003a8f5 4   7    .text   utf8    0ْ\aȋ blocks=Basic Latin,Arabic,Latin Extended-B
2855  0x00039d02 0x1003a902 5   6    .text   ascii   %+4HH
2856  0x00039da1 0x1003a9a1 5   8    .text   utf8    A(E绹V blocks=Basic Latin,CJK Unified Ideographs
2857  0x00039e1d 0x1003aa1d 4   6    .text   utf8    H̃D@ blocks=Basic Latin,Combining Diacritical Marks
2858  0x00039eb6 0x1003aab6 4   5    .text   ascii   E<Hr
2859  0x00039ed1 0x1003aad1 4   5    .text   ascii   =\a\bH
2860  0x00039f7f 0x1003ab7f 4   5    .text   ascii   UHD$
2861  0x00039fc0 0x1003abc0 4   5    .text   ascii   <HHH
2862  0x0003a030 0x1003ac30 5   6    .text   ascii   m}\t+I
2863  0x0003a068 0x1003ac68 4   5    .text   ascii   D( \t
2864  0x0003a071 0x1003ac71 5   6    .text   ascii    ETL\n
2865  0x0003a087 0x1003ac87 4   5    .text   ascii   vOHb
2866  0x0003a0d9 0x1003acd9 5   6    .text   ascii   u3HHx
2867  0x0003a0e6 0x1003ace6 4   5    .text   ascii   (\bI:
2868  0x0003a10d 0x1003ad0d 4   5    .text   ascii   $AEL
2869  0x0003a157 0x1003ad57 5   6    .text   ascii   u$WHH
2870  0x0003a1a4 0x1003ada4 4   6    .text   utf8    ƙ5E@ blocks=Latin Extended-B,Basic Latin
2871  0x0003a1bb 0x1003adbb 4   5    .text   ascii   $0$A
2872  0x0003a228 0x1003ae28 4   6    .text   utf8    wkHP
2873  0x0003a29f 0x1003ae9f 4   5    .text   ascii   s\a;$
2874  0x0003a2af 0x1003aeaf 7   8    .text   ascii   u^Y3H(=
2875  0x0003a2bb 0x1003aebb 4   5    .text   ascii   H3C(
2876  0x0003a2fb 0x1003aefb 4   5    .text   ascii   $}H3
2877  0x0003a307 0x1003af07 4   5    .text   ascii   IL@M
2878  0x0003a337 0x1003af37 4   5    .text   ascii   HI_\e
2879  0x0003a356 0x1003af56 4   6    .text   utf8    \tHݸL blocks=Basic Latin,Arabic Supplement
2880  0x0003a367 0x1003af67 4   5    .text   ascii   (:HG
2881  0x0003a386 0x1003af86 4   5    .text   ascii   $$W$
2882  0x0003a3c2 0x1003afc2 5   6    .text   ascii   z@IED
2883  0x0003a3ea 0x1003afea 5   7    .text   utf8    \e$$5\b
2884  0x0003a460 0x1003b060 4   5    .text   ascii   7$t.
2885  0x0003a4c3 0x1003b0c3 5   6    .text   ascii   g|HLj
2886  0x0003a4f4 0x1003b0f4 4   5    .text   ascii   H\btU
2887  0x0003a54e 0x1003b14e 4   5    .text   ascii   V[C$
2888  0x0003a589 0x1003b189 4   5    .text   ascii   LtKH
2889  0x0003a5d6 0x1003b1d6 4   6    .text   utf8    H׃HH blocks=Basic Latin,Hebrew
2890  0x0003a603 0x1003b203 5   6    .text   ascii   ALHXw
2891  0x0003a623 0x1003b223 7   8    .text   ascii   wy~tzH$
2892  0x0003a66c 0x1003b26c 4   6    .text   utf8    (;օp blocks=Basic Latin,Armenian
2893  0x0003a712 0x1003b312 5   6    .text   ascii   HHTtJ
2894  0x0003a7a5 0x1003b3a5 5   7    .text   utf8    Eyω2u blocks=Basic Latin,Greek and Coptic
2895  0x0003a7b5 0x1003b3b5 4   5    .text   ascii   H$3\b
2896  0x0003a7e0 0x1003b3e0 6   7    .text   ascii   HHLH=H
2897  0x0003a7f2 0x1003b3f2 4   5    .text   ascii   $H0[
2898  0x0003a821 0x1003b421 6   7    .text   ascii   uAfm@@
2899  0x0003a879 0x1003b479 4   5    .text   ascii   HU$H
2900  0x0003a8c8 0x1003b4c8 4   5    .text   ascii   fuD!
2901  0x0003a90b 0x1003b50b 6   9    .text   utf8    $\vA̷Mɍ blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-B
2902  0x0003aaa7 0x1003b6a7 4   5    .text   ascii   HHHr
2903  0x0003aab9 0x1003b6b9 4   5    .text   ascii   Ef=t
2904  0x0003ab19 0x1003b719 5   6    .text   ascii   U3kDH
2905  0x0003ab33 0x1003b733 5   8    .text   utf8    ̋DH\aL blocks=Combining Diacritical Marks,Basic Latin
2906  0x0003ab3b 0x1003b73b 4   6    .text   utf8    ̋yDE blocks=Combining Diacritical Marks,Basic Latin
2907  0x0003aba9 0x1003b7a9 4   5    .text   ascii   E8MH
2908  0x0003ac32 0x1003b832 4   5    .text   ascii    3EW
2909  0x0003ac61 0x1003b861 4   5    .text   ascii   PsH3
2910  0x0003aca5 0x1003b8a5 4   6    .text   utf8    ۃ pI blocks=Arabic,Basic Latin
2911  0x0003ace9 0x1003b8e9 5   7    .text   utf8    \bE]\vH
2912  0x0003ad4a 0x1003b94a 4   6    .text   utf8    Hœ{M blocks=Basic Latin,Latin Extended-A
2913  0x0003ad50 0x1003b950 4   6    .text   utf8    THǐf blocks=Basic Latin,Latin Extended-B
2914  0x0003addd 0x1003b9dd 4   6    .text   utf8    3ԋG\f blocks=Basic Latin,Cyrillic Supplement
2915  0x0003ae11 0x1003ba11 4   5    .text   ascii   ZPuH
2916  0x0003ae43 0x1003ba43 4   5    .text   ascii   HE0I
2917  0x0003ae7c 0x1003ba7c 5   8    .text   utf8    ύƍwLR blocks=Greek and Coptic,Latin Extended-B,Basic Latin
2918  0x0003aefb 0x1003bafb 4   5    .text   ascii   \ft =
2919  0x0003af04 0x1003bb04 4   7    .text   utf8    tΉЂl blocks=Basic Latin,Greek and Coptic,Cyrillic
2920  0x0003af7c 0x1003bb7c 4   5    .text   ascii   $D\rp
2921  0x0003b094 0x1003bc94 4   5    .text   ascii   Ik U
2922  0x0003b0f7 0x1003bcf7 4   6    .text   utf8    NθAH blocks=Basic Latin,Greek and Coptic
2923  0x0003b158 0x1003bd58 4   5    .text   ascii   Mf\bL
2924  0x0003b249 0x1003be49 5   6    .text   ascii   \e\rA%r
2925  0x0003b2ab 0x1003beab 5   6    .text   ascii   HT$@B
2926  0x0003b2b8 0x1003beb8 4   5    .text   ascii   uNMH
2927  0x0003b2ea 0x1003beea 4   5    .text   ascii   DH$H
2928  0x0003b37e 0x1003bf7e 4   5    .text   ascii   M$HH
2929  0x0003b3a6 0x1003bfa6 4   5    .text   ascii   C8$!
2930  0x0003b507 0x1003c107 4   5    .text   ascii   HHtE
2931  0x0003b52f 0x1003c12f 4   5    .text   ascii   0;|H
2932  0x0003b5a3 0x1003c1a3 4   6    .text   utf8    H̍tF blocks=Basic Latin,Combining Diacritical Marks
2933  0x0003b5e6 0x1003c1e6 6   7    .text   ascii   t(SL@I
2934  0x0003b632 0x1003c232 4   5    .text   ascii   o~EH
2935  0x0003b65b 0x1003c25b 6   7    .text   ascii   RH\a$=w
2936  0x0003b74b 0x1003c34b 4   6    .text   utf8    U$(ˁ blocks=Basic Latin,Spacing Modifier Letters
2937  0x0003b827 0x1003c427 5   6    .text   ascii   `H$E8
2938  0x0003b836 0x1003c436 4   5    .text   ascii   APIB
2939  0x0003b855 0x1003c455 4   5    .text   ascii   hHkH
2940  0x0003b883 0x1003c483 4   5    .text   ascii   DMD\a
2941  0x0003b8b6 0x1003c4b6 6   8    .text   utf8    $kȋL\a\a blocks=Basic Latin,Latin Extended-B
2942  0x0003b95f 0x1003c55f 4   5    .text   ascii   NHVI
