[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x00000100 0x00000100 4   5            ascii   woHY
3    0x000001f0 0x000001f0 4   5            ascii   UPX0
4    0x00000218 0x00000218 4   5            ascii   UPX1
5    0x00000240 0x00000240 5   6            ascii   .rsrc
6    0x000003db 0x000003db 4   5            ascii   3.91
7    0x000003e0 0x000003e0 9   10           ascii   UPX!\r\t\b\b@
1641 0x000169ca 0x0045a7ca 10  11   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f
1642 0x000169d6 0x0045a7d6 10  11   .rsrc   ascii   \f\f\f\f\f\f\f\f\f\f
1643 0x000178c8 0x0045b6c8 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1644 0x00017928 0x0045b728 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1645 0x00017931 0x0045b731 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1646 0x00017958 0x0045b758 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1647 0x00017961 0x0045b761 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1648 0x00017988 0x0045b788 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1649 0x00017991 0x0045b791 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1650 0x000179b8 0x0045b7b8 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1651 0x000179c1 0x0045b7c1 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1652 0x000179e8 0x0045b7e8 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1653 0x000179f1 0x0045b7f1 8   9    .rsrc   ascii   \f\f\f\f\f\f\f\f
1654 0x000181e3 0x0045bfe3 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1655 0x000181eb 0x0045bfeb 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1656 0x0001820b 0x0045c00b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1657 0x00018213 0x0045c013 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1658 0x00018233 0x0045c033 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1659 0x0001823b 0x0045c03b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1660 0x0001825b 0x0045c05b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1661 0x00018263 0x0045c063 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1662 0x000182ab 0x0045c0ab 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1663 0x000182b3 0x0045c0b3 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1664 0x000182d3 0x0045c0d3 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1665 0x000182db 0x0045c0db 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1666 0x000182fb 0x0045c0fb 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1667 0x00018303 0x0045c103 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1668 0x00018323 0x0045c123 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1669 0x0001832b 0x0045c12b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1670 0x00018373 0x0045c173 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1671 0x0001837b 0x0045c17b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1672 0x0001839b 0x0045c19b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1673 0x000183a3 0x0045c1a3 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1674 0x000183c3 0x0045c1c3 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1675 0x000183cb 0x0045c1cb 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1676 0x000183eb 0x0045c1eb 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1677 0x000183f3 0x0045c1f3 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1678 0x0001843b 0x0045c23b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1679 0x00018443 0x0045c243 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1680 0x00018463 0x0045c263 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1681 0x0001846b 0x0045c26b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1682 0x0001848b 0x0045c28b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1683 0x00018493 0x0045c293 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1684 0x000184b3 0x0045c2b3 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1685 0x000184bb 0x0045c2bb 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1686 0x00018503 0x0045c303 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1687 0x0001850b 0x0045c30b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1688 0x0001852b 0x0045c32b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1689 0x00018533 0x0045c333 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1690 0x00018553 0x0045c353 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1691 0x0001855b 0x0045c35b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1692 0x0001857b 0x0045c37b 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1693 0x00018583 0x0045c383 7   8    .rsrc   ascii   \f\f\f\f\f\f\f
1694 0x000185c3 0x0045c3c3 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1695 0x000185cb 0x0045c3cb 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1696 0x000185eb 0x0045c3eb 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1697 0x000185f3 0x0045c3f3 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1698 0x00018613 0x0045c413 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1699 0x0001861b 0x0045c41b 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1700 0x0001863b 0x0045c43b 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1701 0x00018643 0x0045c443 7   8    .rsrc   ascii   \v\v\v\v\v\v\v
1702 0x00018754 0x0045c554 60  244  .rsrc   utf32le \a
1703 0x00018d43 0x0045cb43 4   5    .rsrc   ascii   \r\r\r\r
1704 0x00018d48 0x0045cb48 5   6    .rsrc   ascii   \r\r\r\r\r
1705 0x00018d63 0x0045cb63 4   5    .rsrc   ascii   \r\r\r\r
1706 0x00018d68 0x0045cb68 5   6    .rsrc   ascii   \r\r\r\r\r
1707 0x00018d83 0x0045cb83 4   5    .rsrc   ascii   \r\r\r\r
1708 0x00018d88 0x0045cb88 5   6    .rsrc   ascii   \r\r\r\r\r
1709 0x00018dc3 0x0045cbc3 4   5    .rsrc   ascii   \r\r\r\r
1710 0x00018dc8 0x0045cbc8 5   6    .rsrc   ascii   \r\r\r\r\r
1711 0x00018de3 0x0045cbe3 4   5    .rsrc   ascii   \r\r\r\r
1712 0x00018de8 0x0045cbe8 5   6    .rsrc   ascii   \r\r\r\r\r
1713 0x00018e03 0x0045cc03 4   5    .rsrc   ascii   \r\r\r\r
1714 0x00018e08 0x0045cc08 5   6    .rsrc   ascii   \r\r\r\r\r
1715 0x00018e43 0x0045cc43 4   5    .rsrc   ascii   \r\r\r\r
1716 0x00018e48 0x0045cc48 5   6    .rsrc   ascii   \r\r\r\r\r
1717 0x00018e63 0x0045cc63 4   5    .rsrc   ascii   \r\r\r\r
1718 0x00018e68 0x0045cc68 5   6    .rsrc   ascii   \r\r\r\r\r
1719 0x00018e83 0x0045cc83 4   5    .rsrc   ascii   \r\r\r\r
1720 0x00018e88 0x0045cc88 5   6    .rsrc   ascii   \r\r\r\r\r
1721 0x00018ec3 0x0045ccc3 4   5    .rsrc   ascii   \r\r\r\r
1722 0x00018ec8 0x0045ccc8 5   6    .rsrc   ascii   \r\r\r\r\r
1723 0x00018ee3 0x0045cce3 4   5    .rsrc   ascii   \r\r\r\r
1724 0x00018ee8 0x0045cce8 5   6    .rsrc   ascii   \r\r\r\r\r
1725 0x00018f03 0x0045cd03 4   5    .rsrc   ascii   \r\r\r\r
1726 0x00018f08 0x0045cd08 5   6    .rsrc   ascii   \r\r\r\r\r
1727 0x00018f43 0x0045cd43 4   5    .rsrc   ascii   \r\r\r\r
1728 0x00018f48 0x0045cd48 5   6    .rsrc   ascii   \r\r\r\r\r
1729 0x00018f63 0x0045cd63 4   5    .rsrc   ascii   \r\r\r\r
1730 0x00018f68 0x0045cd68 5   6    .rsrc   ascii   \r\r\r\r\r
1731 0x00018f83 0x0045cd83 4   5    .rsrc   ascii   \r\r\r\r
1732 0x00018f88 0x0045cd88 5   6    .rsrc   ascii   \r\r\r\r\r
1733 0x00018fbc 0x0045cdbc 5   6    .rsrc   ascii   \f\f\f\f\f
1734 0x00018fc2 0x0045cdc2 5   6    .rsrc   ascii   \f\f\f\f\f
1735 0x00018fdc 0x0045cddc 5   6    .rsrc   ascii   \f\f\f\f\f
1736 0x00018fe2 0x0045cde2 5   6    .rsrc   ascii   \f\f\f\f\f
1737 0x00018ffc 0x0045cdfc 5   6    .rsrc   ascii   \f\f\f\f\f
1738 0x00019002 0x0045ce02 5   6    .rsrc   ascii   \f\f\f\f\f
1739 0x0001957d 0x0045d37d 18  19   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r
1740 0x000195cc 0x0045d3cc 4   5    .rsrc   ascii   \t\t\t\t
1741 0x000195d1 0x0045d3d1 4   5    .rsrc   ascii   \t\t\t\t
1742 0x000195e4 0x0045d3e4 4   5    .rsrc   ascii   \t\t\t\t
1743 0x000195e9 0x0045d3e9 4   5    .rsrc   ascii   \t\t\t\t
1744 0x00019614 0x0045d414 4   5    .rsrc   ascii   \t\t\t\t
1745 0x00019619 0x0045d419 4   5    .rsrc   ascii   \t\t\t\t
1746 0x0001962c 0x0045d42c 4   5    .rsrc   ascii   \t\t\t\t
1747 0x00019631 0x0045d431 4   5    .rsrc   ascii   \t\t\t\t
1748 0x0001965c 0x0045d45c 4   5    .rsrc   ascii   \t\t\t\t
1749 0x00019661 0x0045d461 4   5    .rsrc   ascii   \t\t\t\t
1750 0x00019674 0x0045d474 4   5    .rsrc   ascii   \t\t\t\t
1751 0x00019679 0x0045d479 4   5    .rsrc   ascii   \t\t\t\t
1752 0x000196a4 0x0045d4a4 4   5    .rsrc   ascii   \t\t\t\t
1753 0x000196a9 0x0045d4a9 4   5    .rsrc   ascii   \t\t\t\t
1754 0x000196bc 0x0045d4bc 4   5    .rsrc   ascii   \t\t\t\t
1755 0x000196c1 0x0045d4c1 4   5    .rsrc   ascii   \t\t\t\t
1756 0x000196ec 0x0045d4ec 5   6    .rsrc   ascii   \b\b\b\b\r
1757 0x00019704 0x0045d504 5   6    .rsrc   ascii   \b\b\b\b\r
1758 0x00019775 0x0045d575 12  13   .rsrc   ascii   \r\r\r\r\r\r\r\r\r\r\r\r
1759 0x00019e02 0x0045dc02 6   14   .rsrc   utf16le 0ðpðð믨 blocks=Basic Latin,Latin-1 Supplement,Hangul Syllables
1760 0x0001a37d 0x0045e17d 5   6    .rsrc   ascii   PNG\r\n
1761 0x0001a387 0x0045e187 5   6    .rsrc   ascii   \rIHDR
1762 0x0001a3a0 0x0045e1a0 5   6    .rsrc   ascii   \tpHYs
1763 0x0001a3b6 0x0045e1b6 5   6    .rsrc   ascii   IDATx
1764 0x0001a3cf 0x0045e1cf 4   5    .rsrc   ascii   -6bU
1765 0x0001a401 0x0045e201 8   12   .rsrc   utf8    G𡱥:NHU\eS blocks=Basic Latin,CJK Unified Ideographs Extension B
1766 0x0001a41c 0x0045e21c 4   5    .rsrc   ascii   .l`w
1767 0x0001a45d 0x0045e25d 4   5    .rsrc   ascii   |4|o
1768 0x0001a491 0x0045e291 4   5    .rsrc   ascii   K&?|
1769 0x0001a4b9 0x0045e2b9 4   5    .rsrc   ascii   VEee
1770 0x0001a4c3 0x0045e2c3 4   6    .rsrc   utf8    Ո@~\b blocks=Armenian,Basic Latin
1771 0x0001a5a4 0x0045e3a4 4   5    .rsrc   ascii   AX"@
1772 0x0001a5df 0x0045e3df 4   7    .rsrc   utf8    YHD䣠 blocks=Basic Latin,CJK Unified Ideographs Extension A
1773 0x0001a647 0x0045e447 4   5    .rsrc   ascii   W.^<
1774 0x0001a659 0x0045e459 4   5    .rsrc   ascii   ETU]
1775 0x0001a6c3 0x0045e4c3 8   9    .rsrc   ascii   \rA,6=7#C
1776 0x0001a6cd 0x0045e4cd 5   6    .rsrc   ascii   297-C
1777 0x0001a6dc 0x0045e4dc 6   7    .rsrc   ascii   ""w;z}
1778 0x0001a70b 0x0045e50b 4   7    .rsrc   utf8    Hⳤ$& blocks=Basic Latin,Coptic
1779 0x0001a745 0x0045e545 4   6    .rsrc   utf8    ͘mcu blocks=Combining Diacritical Marks,Basic Latin
1780 0x0001a7de 0x0045e5de 4   7    .rsrc   utf8    ٲq̶a blocks=Arabic,Basic Latin,Combining Diacritical Marks
1781 0x0001a806 0x0045e606 6   7    .rsrc   ascii   |GMT*K
1782 0x0001a86f 0x0045e66f 4   5    .rsrc   ascii   w>#W
1783 0x0001a87a 0x0045e67a 6   8    .rsrc   utf8    Z[7Uɾh blocks=Basic Latin,IPA Extensions
1784 0x0001a8e7 0x0045e6e7 4   5    .rsrc   ascii   ;r3>
1785 0x0001a933 0x0045e733 5   6    .rsrc   ascii   M-+~f
1786 0x0001a976 0x0045e776 4   5    .rsrc   ascii   \--;
1787 0x0001a9f3 0x0045e7f3 5   6    .rsrc   ascii   iaP.7
1788 0x0001aa14 0x0045e814 4   6    .rsrc   utf8    ɆK~m blocks=Latin Extended-B,Basic Latin
1789 0x0001aa34 0x0045e834 7   8    .rsrc   ascii   d1=7#].
1790 0x0001aa5a 0x0045e85a 4   5    .rsrc   ascii    \v7;
1791 0x0001aa78 0x0045e878 6   8    .rsrc   utf8    Lņ2i_e blocks=Basic Latin,Latin Extended-A
1792 0x0001aabf 0x0045e8bf 4   5    .rsrc   ascii   } /^
1793 0x0001aaf6 0x0045e8f6 4   5    .rsrc   ascii   p h\b
1794 0x0001ab76 0x0045e976 9   10   .rsrc   ascii   znFz\ao8^5
1795 0x0001abcd 0x0045e9cd 6   7    .rsrc   ascii   !Ws{o7
1796 0x0001abd5 0x0045e9d5 4   5    .rsrc   ascii   2\v@P
1797 0x0001acf7 0x0045eaf7 4   6    .rsrc   utf8    j#{ץ blocks=Basic Latin,Hebrew
1798 0x0001ad07 0x0045eb07 4   5    .rsrc   ascii   Ib<)
1799 0x0001ad4a 0x0045eb4a 7   8    .rsrc   ascii   \v3_=^x(
1800 0x0001ad5a 0x0045eb5a 4   7    .rsrc   utf8    c%\e屒 blocks=Basic Latin,CJK Unified Ideographs
1801 0x0001ad6a 0x0045eb6a 4   5    .rsrc   ascii   _,Hr
1802 0x0001ad7b 0x0045eb7b 4   5    .rsrc   ascii   %9?Y
1803 0x0001adcc 0x0045ebcc 4   5    .rsrc   ascii   b @1
1804 0x0001ae6b 0x0045ec6b 4   5    .rsrc   ascii   IEND
1805 0x0002a1ff 0x0046dfff 4   5    .rsrc   ascii   ?;Z 
1806 0x0002c0ff 0x0046feff 4   5    .rsrc   ascii   o;Z 
1807 0x0002c7ac 0x004705ac 4   5    .rsrc   ascii   >>Ai
1808 0x0002c8a8 0x004706a8 4   5    .rsrc   ascii   >>Ai
1809 0x0002c9a4 0x004707a4 4   5    .rsrc   ascii   >>Ai
1810 0x0002caa0 0x004708a0 4   5    .rsrc   ascii   >>Ai
1811 0x0002cb9c 0x0047099c 4   5    .rsrc   ascii   >>Ai
1812 0x0002cc98 0x00470a98 4   5    .rsrc   ascii   >>Ai
1813 0x0002cd94 0x00470b94 4   5    .rsrc   ascii   >>Ai
1814 0x0002ce90 0x00470c90 4   5    .rsrc   ascii   >>Ai
1815 0x0002cf8c 0x00470d8c 4   5    .rsrc   ascii   >>Ai
1816 0x0002d088 0x00470e88 4   5    .rsrc   ascii   >>Ai
1817 0x0002d184 0x00470f84 4   5    .rsrc   ascii   >>Ai
1818 0x0002d280 0x00471080 4   5    .rsrc   ascii   >>Ai
1819 0x0002d37c 0x0047117c 4   5    .rsrc   ascii   >>Ai
1820 0x000319af 0x004757af 4   5    .rsrc   ascii   ?4J 
1821 0x00032baf 0x004769af 4   5    .rsrc   ascii   ?4J 
1822 0x00034c3c 0x00478a3c 4   5    .rsrc   ascii   =<?o
1823 0x00035308 0x00479108 60  244  .rsrc   utf32le \a
1824 0x000360d0 0x00479ed0 4   5    .rsrc   ascii   =<?o
1825 0x0003614c 0x00479f4c 4   5    .rsrc   ascii   =<?o
1826 0x000361c8 0x00479fc8 4   5    .rsrc   ascii   =<?o
1827 0x00036244 0x0047a044 4   5    .rsrc   ascii   =<?o
1828 0x000362c0 0x0047a0c0 4   5    .rsrc   ascii   =<?o
1829 0x0003633c 0x0047a13c 4   5    .rsrc   ascii   =<?o
1830 0x00036647 0x0047a447 4   5    .rsrc   ascii   ?6P 
1831 0x00036be7 0x0047a9e7 4   5    .rsrc   ascii   ?6P 
1832 0x00036f4f 0x0047ad4f 4   5    .rsrc   ascii   ?6P 
1833 0x00036f8e 0x0047ad8e 4   5    .rsrc   ascii   "fFr
1834 0x00036fde 0x0047adde 4   5    .rsrc   ascii   "fFr
1835 0x0003702e 0x0047ae2e 4   5    .rsrc   ascii   "fFr
1836 0x0003707e 0x0047ae7e 4   5    .rsrc   ascii   "fFr
1837 0x000370ce 0x0047aece 4   5    .rsrc   ascii   "fFr
1838 0x0003711e 0x0047af1e 4   5    .rsrc   ascii   "fFr
1839 0x0003716e 0x0047af6e 4   5    .rsrc   ascii   "fFr
1840 0x000371be 0x0047afbe 4   5    .rsrc   ascii   "fFr
1841 0x0003720e 0x0047b00e 4   5    .rsrc   ascii   "fFr
1842 0x0003725e 0x0047b05e 4   5    .rsrc   ascii   "fFr
1843 0x000372ae 0x0047b0ae 4   5    .rsrc   ascii   "fFr
1844 0x000372fe 0x0047b0fe 4   5    .rsrc   ascii   "fFr
1845 0x0003734e 0x0047b14e 4   5    .rsrc   ascii   "`Fr
1846 0x000373af 0x0047b1af 4   5    .rsrc   ascii   /1D!
1847 0x00037526 0x0047b326 6   14   .rsrc   utf16le 0ðpðð鋠 blocks=Basic Latin,Latin-1 Supplement,CJK Unified Ideographs
1848 0x000375da 0x0047b3da 4   5    .rsrc   ascii   "fFr
1849 0x0003761a 0x0047b41a 4   5    .rsrc   ascii   "fFr
1850 0x0003765a 0x0047b45a 4   5    .rsrc   ascii   "fFr
1851 0x0003769a 0x0047b49a 4   5    .rsrc   ascii   "fFr
1852 0x000376da 0x0047b4da 4   5    .rsrc   ascii   "fFr
1853 0x0003771a 0x0047b51a 4   5    .rsrc   ascii   "fFr
1854 0x0003775a 0x0047b55a 4   5    .rsrc   ascii   "fFr
1855 0x0003779a 0x0047b59a 4   5    .rsrc   ascii   "fFr
1856 0x000377da 0x0047b5da 4   5    .rsrc   ascii   "fFr
1857 0x0003781a 0x0047b61a 4   5    .rsrc   ascii   "fFr
1858 0x0003785a 0x0047b65a 4   5    .rsrc   ascii   "`Fr
1859 0x00037aef 0x0047b8ef 545 546  .rsrc   ascii   <?xml version="1.0" encoding="UTF-8" standalone="yes"?>\r\n<assembly xmlns="urn:schemas-microsoft-com:asm.v1" manifestVersion="1.0"><trustInfo xmlns="urn:schemas-microsoft-com:asm.v3"><security><requestedPrivileges><requestedExecutionLevel level="asInvoker" uiAccess="false"></requestedExecutionLevel></requestedPrivileges></security></trustInfo><application xmlns="urn:schemas-microsoft-com:asm.v3"><windowsSettings><dpiAware xmlns="http://schemas.microsoft.com/SMI/2005/WindowsSettings">true</dpiAware></windowsSettings></application></assembly>
1860 0x00037e34 0x0047bc34 12  13   .rsrc   ascii   KERNEL32.DLL
1861 0x00037e41 0x0047bc41 12  13   .rsrc   ascii   ADVAPI32.dll
1862 0x00037e4e 0x0047bc4e 12  13   .rsrc   ascii   IPHLPAPI.DLL
1863 0x00037e5b 0x0047bc5b 11  12   .rsrc   ascii   SHELL32.dll
1864 0x00037e67 0x0047bc67 10  11   .rsrc   ascii   urlmon.dll
1865 0x00037e72 0x0047bc72 10  11   .rsrc   ascii   USER32.dll
1866 0x00037e7d 0x0047bc7d 11  12   .rsrc   ascii   WININET.dll
1867 0x00037e89 0x0047bc89 10  11   .rsrc   ascii   WS2_32.dll
1868 0x00037e94 0x0047bc94 12  13   .rsrc   ascii   WTSAPI32.dll
1869 0x00037ea2 0x0047bca2 12  13   .rsrc   ascii   LoadLibraryA
1870 0x00037eb0 0x0047bcb0 14  15   .rsrc   ascii   GetProcAddress
1871 0x00037ec0 0x0047bcc0 14  15   .rsrc   ascii   VirtualProtect
1872 0x00037ed0 0x0047bcd0 12  13   .rsrc   ascii   VirtualAlloc
1873 0x00037ede 0x0047bcde 11  12   .rsrc   ascii   VirtualFree
1874 0x00037eec 0x0047bcec 11  12   .rsrc   ascii   ExitProcess
1875 0x00037efa 0x0047bcfa 12  13   .rsrc   ascii   GetUserNameA
1876 0x00037f08 0x0047bd08 16  17   .rsrc   ascii   GetNetworkParams
1877 0x00037f1a 0x0047bd1a 13  14   .rsrc   ascii   ShellExecuteW
1878 0x00037f2a 0x0047bd2a 18  19   .rsrc   ascii   URLDownloadToFileA
1879 0x00037f3e 0x0047bd3e 9   10   .rsrc   ascii   wsprintfW
1880 0x00037f4a 0x0047bd4a 13  14   .rsrc   ascii   InternetOpenW
1881 0x00037f5a 0x0047bd5a 13  14   .rsrc   ascii   WTSFreeMemory

